major,minor,minor_train_accuracy,minor_test_accuracy
12,2,0.8626543209876543,0.9606481481481481
12,4,0.8479938271604939,0.9606481481481481
12,6,0.8310185185185185,0.9560185185185185
12,8,0.808641975308642,0.9675925925925926
12,10,0.7962962962962963,0.9467592592592593
12,12,0.7746913580246914,0.9282407407407407
12,14,0.7623456790123457,0.9537037037037037
12,16,0.7469135802469136,0.9143518518518519
12,18,0.7299382716049383,0.9421296296296297
12,20,0.7067901234567902,0.8842592592592593
14,0,0.8603395061728395,0.9722222222222222
14,2,0.845679012345679,0.9699074074074074
14,4,0.8310185185185185,0.9629629629629629
14,6,0.8125,0.9560185185185185
14,8,0.7986111111111112,0.9699074074074074
14,10,0.7731481481481481,0.9467592592592593
14,12,0.7546296296296297,0.9236111111111112
14,14,0.75,0.9421296296296297
14,16,0.7268518518518519,0.9189814814814815
14,18,0.7083333333333334,0.9189814814814815
14,20,0.6975308641975309,0.9120370370370371
16,0,0.8402777777777778,0.9537037037037037
16,2,0.8225308641975309,0.9421296296296297
16,4,0.808641975308642,0.9398148148148148
16,6,0.8001543209876543,0.9351851851851852
16,8,0.7800925925925926,0.9212962962962963
16,10,0.7623456790123457,0.9236111111111112
16,12,0.7507716049382716,0.9189814814814815
16,14,0.7345679012345679,0.9120370370370371
16,16,0.7191358024691358,0.9097222222222222
16,18,0.6967592592592593,0.9050925925925926
16,20,0.6844135802469136,0.8958333333333334
18,0,0.8202160493827161,0.9606481481481481
18,2,0.8040123456790124,0.9537037037037037
18,4,0.7908950617283951,0.9606481481481481
18,6,0.7762345679012346,0.9537037037037037
18,8,0.7546296296296297,0.9143518518518519
18,10,0.746141975308642,0.9328703703703703
18,12,0.720679012345679,0.8888888888888888
18,14,0.7229938271604939,0.9212962962962963
18,16,0.691358024691358,0.8796296296296297
18,18,0.6898148148148148,0.9212962962962963
18,20,0.6743827160493827,0.8912037037037037
20,0,0.8001543209876543,0.9328703703703703
20,2,0.7862654320987654,0.9236111111111112
