major,minor,minor_train_accuracy,minor_test_accuracy
14,2,0.8448812448812448,0.8369979118044466
14,4,0.8307125307125307,0.8357695614789338
14,6,0.8175266175266175,0.8268026041026901
14,8,0.8041769041769041,0.8239773983540105
14,10,0.7878787878787878,0.819432502149613
14,12,0.7734234234234234,0.808991524382754
14,14,0.7616298116298116,0.8078860090897924
14,16,0.7432841932841933,0.804692298243459
14,18,0.728050778050778,0.7872497236211767
14,20,0.7144553644553645,0.7820906522540229
16,0,0.8401310401310401,0.8349097162510748
16,2,0.8269451269451269,0.8301191499815748
16,4,0.8118755118755119,0.8308561601768825
16,6,0.7987714987714988,0.8216435327355361
16,8,0.7853808353808354,0.8184498218892028
16,10,0.771007371007371,0.8069033288293821
16,12,0.7582309582309582,0.8030954428202923
16,14,0.744963144963145,0.8048151332760103
16,16,0.731941031941032,0.7894607542070998
16,18,0.717035217035217,0.7827048274167793
16,20,0.7073300573300574,0.780002456700651
18,0,0.8201064701064701,0.8258199238422799
18,2,0.807002457002457,0.8226262129959464
18,4,0.7957002457002457,0.8204151824100233
18,6,0.7805896805896806,0.8108340498710233
18,8,0.7647420147420148,0.8034639479179462
18,10,0.7558968058968059,0.7984277115833436
18,12,0.7452907452907452,0.7905662695000614
18,14,0.7275593775593776,0.7844245178724972
18,16,0.7165028665028665,0.7847930229701511
18,18,0.7054873054873055,0.773492199975433
18,20,0.6895577395577396,0.7629283871760226
20,0,0.8000819000819,0.8199238422798182
20,2,0.7883292383292383,0.8150104409777669
20,4,0.7760851760851761,0.8123080702616386
20,6,0.7677313677313677,0.804692298243459
20,8,0.7534807534807535,0.8016214224296769
20,10,0.7402538902538902,0.7986733816484461
20,12,0.7281326781326781,0.7889694140768947
20,14,0.7168304668304668,0.776931580886869
20,16,0.7063882063882064,0.7721410146173688
20,18,0.6914823914823914,0.7672276133153175
20,20,0.6796478296478297,0.7529787495393686
22,0,0.7801801801801802,0.8150104409777669
22,2,0.7684684684684685,0.8104655447733694
22,4,0.7561425061425061,0.8056749785038693
22,6,0.7476248976248976,0.8024812676575359
22,8,0.7382882882882883,0.7985505466158949
22,10,0.7247747747747748,0.7861442083282152
22,12,0.712981162981163,0.7829504974818818
22,14,0.7021294021294021,0.7764402407566638
22,16,0.6934070434070434,0.766981943250215
22,18,0.6821867321867322,0.7554354501903943
22,20,0.6701883701883702,0.7571551406461122
24,0,0.7602375102375102,0.808991524382754
24,2,0.7490990990990991,0.8060434836015231
24,4,0.7391482391482391,0.7965851860950743
24,6,0.7285831285831286,0.7908119395651639
24,8,0.7171171171171171,0.7862670433607665
24,10,0.7081900081900082,0.7840560127748434
24,12,0.6988533988533988,0.7707898292593047
24,14,0.689025389025389,0.7671047782827662
