major,minor,minor_train_accuracy,minor_test_accuracy
30,14,0.613477366255144,0.9296296296296296
30,16,0.6006172839506173,0.928395061728395
30,18,0.5874485596707819,0.9138888888888889
30,20,0.5739711934156378,0.8910493827160494
32,0,0.6800411522633745,0.9583333333333334
32,2,0.6674897119341564,0.9555555555555556
32,4,0.6563786008230452,0.9487654320987654
32,6,0.6441358024691358,0.9490740740740741
32,8,0.633641975308642,0.9450617283950618
32,10,0.6189300411522634,0.9376543209876543
32,12,0.6073045267489712,0.9256172839506173
32,14,0.5976337448559671,0.9268518518518518
32,16,0.5849794238683128,0.9083333333333333
32,18,0.5733539094650206,0.9018518518518519
32,20,0.5573045267489712,0.8885802469135803
34,0,0.660082304526749,0.9459876543209876
34,2,0.6480452674897119,0.9450617283950618
34,4,0.6353909465020576,0.9385802469135802
34,6,0.6228395061728395,0.9320987654320988
34,8,0.6122427983539095,0.9364197530864198
34,10,0.6040123456790123,0.9271604938271605
34,12,0.5917695473251029,0.9194444444444444
34,14,0.5799382716049383,0.912962962962963
34,16,0.5703703703703704,0.8922839506172839
34,18,0.5575102880658436,0.8876543209876543
34,20,0.5439300411522634,0.8817901234567901
36,0,0.6400205761316873,0.9404320987654321
36,2,0.6296296296296297,0.9382716049382716
36,4,0.6168724279835391,0.9274691358024691
36,6,0.6062757201646091,0.9311728395061728
36,8,0.5977366255144033,0.9182098765432098
36,10,0.5838477366255144,0.912962962962963
36,12,0.5760288065843622,0.9055555555555556
36,14,0.5636831275720164,0.8919753086419753
36,16,0.5544238683127573,0.8858024691358025
36,18,0.5435185185185185,0.8765432098765432
36,20,0.5306584362139918,0.8604938271604938
38,0,0.6200617283950617,0.9345679012345679
38,2,0.6087448559670782,0.9262345679012346
38,4,0.5979423868312758,0.9228395061728395
38,6,0.5896090534979423,0.9169753086419753
38,8,0.5780864197530864,0.8981481481481481
38,10,0.5681069958847736,0.8950617283950617
38,12,0.5568930041152264,0.8938271604938272
38,14,0.5463991769547325,0.8959876543209877
38,16,0.5352880658436214,0.8787037037037037
38,18,0.527880658436214,0.870679012345679
38,20,0.5153292181069958,0.858641975308642
40,0,0.6,0.9212962962962963
40,2,0.5911522633744856,0.9151234567901234
40,4,0.5799382716049383,0.9052469135802469
40,6,0.5657407407407408,0.8981481481481481
40,8,0.562037037037037,0.8950617283950617
40,10,0.55,0.8898148148148148
40,12,0.5367283950617284,0.8783950617283951
40,14,0.5284979423868312,0.8691358024691358
40,16,0.5133744855967078,0.8472222222222222
40,18,0.5125514403292181,0.8490740740740741
40,20,0.5004115226337449,0.8351851851851851
