major,minor,minor_train_accuracy,minor_test_accuracy
24,2,0.7242990654205608,0.6111111111111112
24,4,0.7476635514018691,0.5694444444444444
24,6,0.7570093457943925,0.5833333333333334
24,8,0.719626168224299,0.5972222222222222
24,10,0.6915887850467289,0.625
24,12,0.6728971962616822,0.5972222222222222
24,14,0.6869158878504673,0.6805555555555556
24,16,0.6542056074766355,0.5833333333333334
24,18,0.6682242990654206,0.625
24,20,0.6214953271028038,0.6666666666666666
26,0,0.7289719626168224,0.75
26,2,0.7102803738317757,0.7083333333333334
26,4,0.7336448598130841,0.7638888888888888
26,6,0.705607476635514,0.6666666666666666
26,8,0.7383177570093458,0.6805555555555556
26,10,0.6448598130841121,0.6388888888888888
26,12,0.705607476635514,0.6666666666666666
26,14,0.6588785046728972,0.7222222222222222
26,16,0.6401869158878505,0.6666666666666666
26,18,0.6355140186915887,0.7222222222222222
26,20,0.6214953271028038,0.5416666666666666
28,0,0.7102803738317757,0.6805555555555556
28,2,0.7102803738317757,0.7083333333333334
28,4,0.6822429906542056,0.6805555555555556
28,6,0.6915887850467289,0.6944444444444444
28,8,0.6869158878504673,0.7222222222222222
28,10,0.6728971962616822,0.6388888888888888
28,12,0.6635514018691588,0.7222222222222222
28,14,0.6822429906542056,0.625
28,16,0.6869158878504673,0.6111111111111112
28,18,0.616822429906542,0.5694444444444444
28,20,0.6542056074766355,0.6527777777777778
30,0,0.6728971962616822,0.5694444444444444
30,2,0.6728971962616822,0.5277777777777778
30,4,0.6635514018691588,0.5416666666666666
30,6,0.6728971962616822,0.5833333333333334
30,8,0.6588785046728972,0.5555555555555556
30,10,0.6448598130841121,0.5833333333333334
30,12,0.6728971962616822,0.6111111111111112
30,14,0.616822429906542,0.5416666666666666
30,16,0.602803738317757,0.5972222222222222
30,18,0.6074766355140186,0.5416666666666666
30,20,0.616822429906542,0.4861111111111111
32,0,0.6728971962616822,0.5416666666666666
32,2,0.6635514018691588,0.4861111111111111
32,4,0.6728971962616822,0.5138888888888888
32,6,0.6495327102803738,0.4861111111111111
32,8,0.6495327102803738,0.5277777777777778
32,10,0.616822429906542,0.5138888888888888
32,12,0.6074766355140186,0.5416666666666666
32,14,0.5934579439252337,0.5555555555555556
32,16,0.6121495327102804,0.5138888888888888
32,18,0.5607476635514018,0.4861111111111111
32,20,0.6308411214953271,0.5277777777777778
34,0,0.6728971962616822,0.6388888888888888
34,2,0.6588785046728972,0.5694444444444444
34,4,0.6448598130841121,0.5833333333333334
34,6,0.6635514018691588,0.6805555555555556
34,8,0.6635514018691588,0.5
34,10,0.6121495327102804,0.5416666666666666
34,12,0.5700934579439252,0.5
34,14,0.6074766355140186,0.5972222222222222
34,16,0.5747663551401869,0.4861111111111111
34,18,0.5747663551401869,0.4583333333333333
34,20,0.6074766355140186,0.5833333333333334
36,0,0.6448598130841121,0.625
36,2,0.6682242990654206,0.5555555555555556
36,4,0.677570093457944,0.5416666666666666
36,6,0.6308411214953271,0.5555555555555556
36,8,0.6308411214953271,0.5972222222222222
36,10,0.6635514018691588,0.5972222222222222
36,12,0.6074766355140186,0.6111111111111112
36,14,0.6261682242990654,0.5972222222222222
36,16,0.6121495327102804,0.4444444444444444
36,18,0.616822429906542,0.5833333333333334
36,20,0.616822429906542,0.5277777777777778
38,0,0.6401869158878505,0.5972222222222222
38,2,0.6448598130841121,0.625
38,4,0.6074766355140186,0.5694444444444444
38,6,0.6542056074766355,0.6666666666666666
38,8,0.6121495327102804,0.5972222222222222
38,10,0.6401869158878505,0.5555555555555556
38,12,0.6308411214953271,0.5833333333333334
