,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
60,adult,workclass,60,40,58,7,1,14,-1,0.025,0.024999999999999998,4.0,4.0,20,126,0.15873015873015872
61,adult,workclass,61,37,56,8,1,7,-1,0.027027027027027032,0.02702702702702704,3.5,3.5,18,114,0.15789473684210525
62,adult,workclass,62,44,66,8,1,6,-1,0.022727272727272728,0.022727272727272728,4.5,4.875,25,134,0.1865671641791045
63,adult,workclass,63,47,71,7,1,12,-1,0.02127659574468085,0.02127659574468085,5.0,5.888888888888889,31,144,0.2152777777777778
64,adult,workclass,64,52,77,7,1,13,-1,0.019230769230769232,0.019230769230769232,4.0,4.285714285714286,26,156,0.16666666666666666
65,adult,workclass,65,40,69,7,1,8,-1,0.024999999999999998,0.025,5.0,5.125,31,146,0.21232876712328766
66,adult,workclass,66,51,81,7,1,3,-1,0.019607843137254898,0.0196078431372549,5.0,5.428571428571429,25,166,0.15060240963855423
67,adult,workclass,67,48,65,8,1,17,-1,0.020833333333333332,0.020833333333333332,4.5,4.5,31,132,0.23484848484848486
68,adult,workclass,68,42,60,9,1,15,-1,0.023809523809523805,0.023809523809523808,4.0,4.0,24,124,0.1935483870967742
69,adult,workclass,69,50,76,6,1,2,-1,0.020000000000000004,0.019999999999999997,5.0,5.222222222222222,23,160,0.14375
70,adult,workclass,70,36,57,7,1,7,-1,0.027777777777777783,0.027777777777777776,4.0,4.857142857142857,25,120,0.20833333333333334
71,adult,workclass,71,44,70,7,1,2,-1,0.022727272727272724,0.022727272727272728,4.5,4.75,25,142,0.176056338028169
72,adult,workclass,72,43,64,8,1,10,-1,0.023255813953488372,0.023255813953488372,4.0,4.0,27,130,0.2076923076923077
73,adult,workclass,73,52,72,8,1,17,-1,0.01923076923076923,0.019230769230769232,4.0,4.0,31,146,0.21232876712328766
74,adult,workclass,74,48,72,10,1,18,-1,0.020833333333333332,0.02083333333333334,4.5,5.375,24,148,0.16216216216216217
75,adult,workclass,75,41,55,8,1,10,-1,0.024390243902439022,0.024390243902439025,3.5,3.6666666666666665,24,118,0.2033898305084746
76,adult,workclass,76,39,59,6,1,4,-1,0.02564102564102564,0.025641025641025637,4.0,4.0,16,120,0.13333333333333333
77,adult,workclass,77,40,54,7,1,13,-1,0.025,0.025,3.5,3.8333333333333335,24,110,0.21818181818181817
78,adult,workclass,78,41,66,7,1,11,-1,0.024390243902439025,0.024390243902439025,4.5,5.0,21,140,0.15
79,adult,workclass,79,36,68,5,1,3,-1,0.027777777777777783,0.027777777777777773,4.5,4.75,22,140,0.15714285714285714
80,adult,workclass,80,43,69,7,1,11,-1,0.023255813953488372,0.02325581395348838,5.0,5.222222222222222,28,144,0.19444444444444445
81,adult,workclass,81,41,60,7,1,8,-1,0.024390243902439025,0.024390243902439025,3.5,3.6666666666666665,16,128,0.125
82,adult,workclass,82,42,62,9,1,12,-1,0.023809523809523808,0.023809523809523808,4.5,4.875,21,126,0.16666666666666666
83,adult,workclass,83,43,57,9,1,13,-1,0.02325581395348837,0.023255813953488372,4.0,4.428571428571429,17,118,0.1440677966101695
84,adult,workclass,84,43,67,7,1,9,-1,0.023255813953488372,0.023255813953488372,4.5,4.875,25,136,0.18382352941176472
85,adult,workclass,85,42,60,9,1,4,-1,0.023809523809523808,0.023809523809523805,3.5,3.5,28,122,0.22950819672131148
86,adult,workclass,86,39,59,6,1,5,-1,0.025641025641025637,0.02564102564102564,4.0,4.0,22,120,0.18333333333333332
87,adult,workclass,87,44,69,7,1,11,-1,0.022727272727272728,0.022727272727272728,4.5,4.5,24,142,0.16901408450704225
88,adult,workclass,88,50,78,7,1,8,-1,0.02,0.02,6.0,6.111111111111111,30,158,0.189873417721519
89,adult,workclass,89,51,78,7,1,15,-1,0.019607843137254905,0.0196078431372549,5.0,5.0,21,160,0.13125
90,adult,workclass,90,44,67,7,1,12,-1,0.02272727272727273,0.022727272727272728,4.5,4.625,29,142,0.20422535211267606
91,adult,workclass,91,42,65,8,1,13,-1,0.023809523809523808,0.023809523809523808,4.5,5.625,20,132,0.15151515151515152
92,adult,workclass,92,47,63,8,1,14,-1,0.02127659574468085,0.021276595744680847,4.0,4.285714285714286,28,128,0.21875
93,adult,workclass,93,45,67,8,1,9,-1,0.022222222222222216,0.02222222222222222,4.5,5.25,19,136,0.13970588235294118
94,adult,workclass,94,42,58,9,1,13,-1,0.023809523809523815,0.023809523809523808,4.0,4.142857142857143,23,118,0.19491525423728814
95,adult,workclass,95,45,64,9,1,11,-1,0.022222222222222223,0.022222222222222216,4.0,4.285714285714286,24,132,0.18181818181818182
96,adult,workclass,96,34,51,7,1,9,-1,0.02941176470588235,0.029411764705882353,4.5,5.125,26,104,0.25
97,adult,workclass,97,46,82,6,1,5,-1,0.021739130434782608,0.021739130434782608,5.5,5.5,19,168,0.1130952380952381
98,adult,workclass,98,34,52,8,1,18,-1,0.029411764705882353,0.02941176470588236,3.5,3.6666666666666665,19,112,0.16964285714285715
99,adult,workclass,99,43,71,7,1,6,-1,0.02325581395348837,0.023255813953488372,4.5,5.375,20,146,0.136986301369863
,dataset_name,feature_name,tree_id,nodes,edges,diameter,weak_components,strong_components,node_connectivity,mean_hub_score,mean_auth_score,median_degree,mean_degree,depth,num_of_branches,branching_ratio
